2020-11-30 09:36:09,164 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1011] - Registered Applications size is zero : true
2020-11-30 09:36:09,164 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1013] - Application version is -1: true
2020-11-30 09:36:09,164 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1097] - Getting all instance registry info from the eureka server
2020-11-30 09:36:09,305 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1106] - The response status is 200
2020-11-30 09:36:09,308 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1321] - Starting heartbeat executor: renew interval is: 30
2020-11-30 09:36:09,312 [main] INFO  c.n.discovery.InstanceInfoReplicator [InstanceInfoReplicator.java : 60] - InstanceInfoReplicator onDemand update allowed rate per min is 4
2020-11-30 09:36:09,318 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 492] - Discovery Client initialized at timestamp 1606700169317 with initial instances count: 0
2020-11-30 09:36:09,321 [main] INFO  o.s.c.n.e.s.EurekaServiceRegistry [EurekaServiceRegistry.java : 41] - Registering application EUREKA-CLIENT with eureka with status UP
2020-11-30 09:36:09,322 [main] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1355] - Saw local status change event StatusChangeEvent [timestamp=1606700169322, current=UP, previous=STARTING]
2020-11-30 09:36:09,325 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 873] - DiscoveryClient_EUREKA-CLIENT/WIN-ON8A73OBRD2:eureka-client:8802: registering service...
2020-11-30 09:36:09,350 [main] INFO  o.a.coyote.http11.Http11NioProtocol [DirectJDKLog.java : 173] - Starting ProtocolHandler ["http-nio-8802"]
2020-11-30 09:36:09,385 [main] INFO  o.s.b.w.e.tomcat.TomcatWebServer [TomcatWebServer.java : 203] - Tomcat started on port(s): 8802 (http) with context path ''
2020-11-30 09:36:09,387 [main] INFO  o.s.c.n.e.s.EurekaAutoServiceRegistration [EurekaAutoServiceRegistration.java : 145] - Updating port to 8802
2020-11-30 09:36:09,405 [DiscoveryClient-InstanceInfoReplicator-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 882] - DiscoveryClient_EUREKA-CLIENT/WIN-ON8A73OBRD2:eureka-client:8802 - registration status: 204
2020-11-30 09:36:09,445 [main] INFO  c.e.clientb.EurekaClientApplicationB [StartupInfoLogger.java : 61] - Started EurekaClientApplicationB in 6.117 seconds (JVM running for 7.763)
2020-11-30 09:36:09,788 [RMI TCP Connection(2)-192.168.1.214] INFO  o.a.c.c.C.[Tomcat].[localhost].[/] [DirectJDKLog.java : 173] - Initializing Spring DispatcherServlet 'dispatcherServlet'
2020-11-30 09:36:09,788 [RMI TCP Connection(2)-192.168.1.214] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java : 525] - Initializing Servlet 'dispatcherServlet'
2020-11-30 09:36:09,795 [RMI TCP Connection(2)-192.168.1.214] INFO  o.s.web.servlet.DispatcherServlet [FrameworkServlet.java : 547] - Completed initialization in 7 ms
2020-11-30 09:36:33,757 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1007] - Disable delta property : false
2020-11-30 09:36:33,757 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1008] - Single vip registry refresh property : null
2020-11-30 09:36:33,757 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1009] - Force full registry fetch : false
2020-11-30 09:36:33,758 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1010] - Application is null : false
2020-11-30 09:36:33,758 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1011] - Registered Applications size is zero : true
2020-11-30 09:36:33,758 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1013] - Application version is -1: false
2020-11-30 09:36:33,758 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1097] - Getting all instance registry info from the eureka server
2020-11-30 09:36:33,831 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1106] - The response status is 200
2020-11-30 09:36:39,309 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1007] - Disable delta property : false
2020-11-30 09:36:39,309 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1008] - Single vip registry refresh property : null
2020-11-30 09:36:39,310 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1009] - Force full registry fetch : false
2020-11-30 09:36:39,310 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1010] - Application is null : false
2020-11-30 09:36:39,310 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1011] - Registered Applications size is zero : true
2020-11-30 09:36:39,310 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1013] - Application version is -1: false
2020-11-30 09:36:39,311 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1097] - Getting all instance registry info from the eureka server
2020-11-30 09:36:39,373 [DiscoveryClient-CacheRefreshExecutor-0] INFO  c.netflix.discovery.DiscoveryClient [DiscoveryClient.java : 1106] - The response status is 200
2020-11-30 09:36:41,693 [background-preinit] INFO  o.h.validator.internal.util.Version [Version.java : 21] - HV000001: Hibernate Validator 6.0.21.Final
2020-11-30 09:36:42,497 [main] INFO  c.e.c.EurekaConsumerApplication [SpringApplication.java : 651] - No active profile set, falling back to default profiles: default
2020-11-30 09:36:43,484 [main] WARN  o.s.boot.actuate.endpoint.EndpointId [EndpointId.java : 155] - Endpoint ID 'service-registry' contains invalid characters, please migrate to a valid format.
2020-11-30 09:36:43,694 [main] INFO  o.s.cloud.context.scope.GenericScope [GenericScope.java : 295] - BeanFactory id=58dcdbed-7054-390c-9147-83d1d3621637
